type,order_release_id,details
Missing Settlement,8326312708,Order Amount: ₹799.00
Missing Settlement,8330380479,Order Amount: ₹799.00
Missing Settlement,8330041054,Order Amount: ₹799.00
Missing Settlement,8339711539,Order Amount: ₹799.00
Missing Settlement,8326270537,Order Amount: ₹799.00
Missing Settlement,8338052428,Order Amount: ₹599.00
Missing Settlement,8333677357,Order Amount: ₹649.00
Missing Settlement,8321170200,Order Amount: ₹949.00
Missing Settlement,8336208942,Order Amount: ₹949.00
Missing Settlement,8337971851,Order Amount: ₹799.00
Missing Settlement,8336143735,Order Amount: ₹849.00
Missing Settlement,8337796436,Order Amount: ₹799.00
Missing Settlement,8337554958,Order Amount: ₹799.00
Missing Settlement,8327609835,Order Amount: ₹599.00
Missing Settlement,8324111590,Order Amount: ₹949.00
Missing Settlement,8304039437,Order Amount: ₹949.00
Missing Settlement,8338109443,Order Amount: ₹799.00
Missing Settlement,8338182705,Order Amount: ₹799.00
Missing Settlement,8332008679,Order Amount: ₹799.00
Missing Settlement,8326467320,Order Amount: ₹799.00
Missing Settlement,8326634557,Order Amount: ₹799.00
Missing Settlement,8322860108,Order Amount: ₹799.00
Missing Settlement,8325106203,Order Amount: ₹999.00
Missing Settlement,8332872288,Order Amount: ₹599.00
Missing Settlement,8332555474,Order Amount: ₹899.00
Missing Settlement,8323901241,Order Amount: ₹649.00
Missing Settlement,8322324037,Order Amount: ₹599.00
Missing Settlement,8338001600,Order Amount: ₹599.00
Missing Settlement,8339350902,Order Amount: ₹649.00
Missing Settlement,8324611562,Order Amount: ₹599.00
Missing Settlement,8328288852,Order Amount: ₹799.00
Missing Settlement,8338359830,Order Amount: ₹849.00
Missing Settlement,8338127330,Order Amount: ₹749.00
Missing Settlement,8340591630,Order Amount: ₹799.00
Missing Settlement,8336903341,Order Amount: ₹799.00
Missing Settlement,8322785468,Order Amount: ₹799.00
Missing Settlement,8330567029,Order Amount: ₹799.00
Missing Settlement,8325570173,Order Amount: ₹999.00
Missing Settlement,8328433736,Order Amount: ₹949.00
Missing Settlement,8329179108,Order Amount: ₹799.00
Missing Settlement,8337443512,Order Amount: ₹599.00
Missing Settlement,8325188226,Order Amount: ₹599.00
Missing Settlement,8338594715,Order Amount: ₹799.00
Missing Settlement,8333780675,Order Amount: ₹949.00
Missing Settlement,8328308287,Order Amount: ₹599.00
Missing Settlement,8331821236,Order Amount: ₹799.00
Missing Settlement,8338002847,Order Amount: ₹849.00
Missing Settlement,8333042317,Order Amount: ₹799.00
Missing Settlement,8317732110,Order Amount: ₹799.00
Missing Settlement,8331260644,Order Amount: ₹799.00
Missing Settlement,8336273397,Order Amount: ₹699.00
Missing Settlement,8324337440,Order Amount: ₹699.00
Missing Settlement,8323698479,Order Amount: ₹799.00
Missing Settlement,8331940480,Order Amount: ₹599.00
Missing Settlement,8326683236,Order Amount: ₹599.00
Missing Settlement,8334291711,Order Amount: ₹949.00
Missing Settlement,8326822321,Order Amount: ₹799.00
Missing Settlement,8330114523,Order Amount: ₹799.00
Missing Settlement,8334122104,Order Amount: ₹599.00
Missing Settlement,8328204871,Order Amount: ₹599.00
Missing Settlement,8337455325,Order Amount: ₹799.00
Missing Settlement,8338342022,Order Amount: ₹949.00
Missing Settlement,8325287096,Order Amount: ₹949.00
Missing Settlement,8326717563,Order Amount: ₹599.00
Missing Settlement,8331313445,Order Amount: ₹899.00
Missing Settlement,8327867343,Order Amount: ₹949.00
Missing Settlement,8331003135,Order Amount: ₹599.00
Missing Settlement,8331189093,Order Amount: ₹599.00
Missing Settlement,8335836585,Order Amount: ₹999.00
Missing Settlement,8334350939,Order Amount: ₹949.00
Missing Settlement,8329101863,Order Amount: ₹799.00
Missing Settlement,8334372607,Order Amount: ₹799.00
Missing Settlement,8325033591,Order Amount: ₹699.00
Missing Settlement,8330863564,Order Amount: ₹799.00
Missing Settlement,8332790067,Order Amount: ₹699.00
Missing Settlement,8325397028,Order Amount: ₹849.00
Missing Settlement,8324933470,Order Amount: ₹799.00
Missing Settlement,8324966072,Order Amount: ₹799.00
Missing Settlement,8324590382,Order Amount: ₹899.00
Missing Settlement,8339816787,Order Amount: ₹599.00
Missing Settlement,8329701957,Order Amount: ₹799.00
Missing Settlement,8330855526,Order Amount: ₹799.00
Missing Settlement,8338882469,Order Amount: ₹799.00
Missing Settlement,8332176604,Order Amount: ₹649.00
Missing Settlement,8338368984,Order Amount: ₹699.00
Missing Settlement,8326166574,Order Amount: ₹999.00
Missing Settlement,8340543395,Order Amount: ₹699.00
Missing Settlement,8323521669,Order Amount: ₹699.00
Missing Settlement,8319359924,Order Amount: ₹949.00
Missing Settlement,8326255718,Order Amount: ₹799.00
Missing Settlement,8331573346,Order Amount: ₹799.00
Missing Settlement,8324583288,Order Amount: ₹599.00
Missing Settlement,8334404453,Order Amount: ₹799.00
Missing Settlement,8328061141,Order Amount: ₹599.00
Missing Settlement,8323610040,Order Amount: ₹799.00
Missing Settlement,8337488111,Order Amount: ₹599.00
Missing Settlement,8338961083,Order Amount: ₹699.00
Missing Settlement,8332151782,Order Amount: ₹699.00
Missing Settlement,8336161961,Order Amount: ₹949.00
Missing Settlement,8323256881,Order Amount: ₹649.00
Missing Settlement,8327121550,Order Amount: ₹949.00
Missing Settlement,8330346192,Order Amount: ₹799.00
Missing Settlement,8330346189,Order Amount: ₹799.00
Missing Settlement,8339225206,Order Amount: ₹599.00
Missing Settlement,8325527203,Order Amount: ₹799.00
Missing Settlement,8321487983,Order Amount: ₹949.00
Missing Settlement,8340552435,Order Amount: ₹799.00
Missing Settlement,8332929181,Order Amount: ₹949.00
Missing Settlement,8325915329,Order Amount: ₹949.00
Missing Settlement,8339917798,Order Amount: ₹899.00
Missing Settlement,8333633188,Order Amount: ₹799.00
Missing Settlement,8324806046,Order Amount: ₹899.00
Missing Settlement,8327508558,Order Amount: ₹599.00
Missing Settlement,8332672154,Order Amount: ₹999.00
Missing Settlement,8331642639,Order Amount: ₹799.00
Missing Settlement,8324380608,Order Amount: ₹599.00
Missing Settlement,8324371190,Order Amount: ₹799.00
Missing Settlement,8337198802,Order Amount: ₹599.00
Missing Settlement,8329950668,Order Amount: ₹949.00
Missing Settlement,8330380481,Order Amount: ₹799.00
Missing Settlement,8319446659,Order Amount: ₹899.00
Missing Settlement,8325592844,Order Amount: ₹799.00
Missing Settlement,8313272853,Order Amount: ₹999.00
Missing Settlement,8340385186,Order Amount: ₹799.00
Missing Settlement,8326474423,Order Amount: ₹949.00
Missing Settlement,8325371464,Order Amount: ₹799.00
Missing Settlement,8327937298,Order Amount: ₹699.00
Missing Settlement,8333599346,Order Amount: ₹799.00
